ticker_a,ticker_b,sector,pvalue,hedge_ratio,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
AWK,NEE,utilities,0.006940544978346783,1.8795619582471712,16.911339595382014,0.18994455266618096,0.013403791310819804,0.07056686344870532,0.04005180498828299,-0.12241401039387545,18,0.6111111111111112,16.055555555555557,0.07583052611623485,0.03577872112795185,0.040051804988282994
AEP,EIX,utilities,0.010202416038687566,0.680731766872512,19.005383839874632,0.1889963225977221,0.01278849396233862,0.06766530579305968,0.038213237911273734,-0.08273211106100309,25,0.64,13.92,0.08869576857472197,0.050482530663448204,0.038213237911273755
FITB,NTRS,financials,0.03344853272559076,0.5080941661602921,20.308969770848574,0.17765518055467017,0.01618550199651799,0.09110627647324473,0.04836382144197639,-0.10798936587014718,25,0.68,12.24,0.09830440780676902,0.04994058636479259,0.04836382144197645
BAC,PNC,financials,0.03969651678822071,0.21982689392700708,20.69997971921994,0.17403875502897723,0.010534038001274865,0.060526967108681995,0.0314767087895237,-0.08610034071455941,24,0.6666666666666666,13.041666666666666,0.07967046719359133,0.04819375840406764,0.031476708789523675
DTE,PEG,utilities,0.0027029852327219773,1.9437013142445754,12.367257839422848,0.15354545223973629,0.008100551010098957,0.0527566977200423,0.024205217899224266,-0.10868903888341819,24,0.6666666666666666,13.583333333333334,0.07231082031464275,0.04810560241541848,0.02420521789922427
CB,SCHW,financials,0.04823250581622931,1.3012875807079674,30.89116625511057,0.14860423637059245,0.01651382872175689,0.11112623115652202,0.04934489296620214,-0.09861960216133892,29,0.5862068965517241,15.413793103448276,0.10756656833620912,0.058221675370007,0.04934489296620216
ATO,FE,utilities,0.011130651523670603,0.8874021590968837,13.559969180978344,0.08435901298356653,0.006588748750079912,0.07810367282703305,0.01968780876511974,-0.12229388694730092,23,0.6521739130434783,13.782608695652174,0.06593551860539901,0.04624770984027932,0.01968780876511971
D,EVRG,utilities,0.042702012217686644,0.4435922067849707,17.433802822905765,0.05922744254937335,0.004834432239367484,0.0816248690011795,0.014445743953348078,-0.13097320346161234,21,0.6190476190476191,15.428571428571429,0.05633430575638709,0.04188856180303903,0.014445743953348064
AON,NDAQ,financials,0.00775952884141105,3.0979449961084535,21.371361255688484,0.045046572665636324,0.004190165867195696,0.09301852769793861,0.012520614674596666,-0.11471068692446162,25,0.64,15.88,0.06240402019221135,0.04988340551761474,0.012520614674596642
AJG,ICE,financials,0.03618963142727477,1.571706212755741,24.36403995568984,0.020622314337074944,0.001452997770047362,0.07045755128633416,0.004341695717641522,-0.12190165982027856,26,0.6538461538461539,12.192307692307692,0.05623669467039774,0.05189499895275625,0.004341695717641513
