ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,orientation,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
PGR,BLK,financials,0.03262779640659227,-3.497386244472103,0.061633426889937296,PGR on BLK,25.10072239405861,-0.02921237622218936,-0.0038384744711928197,0.13139891263885484,-0.015277737677009517,-0.3251273026688589,28,0.6428571428571429,17.285714285714285,0.040803870769858336,0.05608160844686783,-0.015277737677009504
TRV,CFG,financials,0.03719220402724496,-3.4490001482248416,2.158835589696158,TRV on CFG,23.09166725969507,-0.039526199726873344,-0.004250348976433342,0.10753244697955587,-0.016917063584772393,-0.17892240007947557,30,0.5666666666666667,15.566666666666666,0.04362955201891783,0.06054661560369019,-0.01691706358477236
AIG,AFL,financials,0.035734378687531855,-3.4638813303742992,1.2644033084102713,AIG on AFL,22.210323665036206,-0.05261962136884528,-0.003544456464563716,0.0673599766086933,-0.014107499341100824,-0.14192075821894878,25,0.6,15.16,0.036230021343739004,0.05033752068483981,-0.014107499341100796
AJG,ICE,financials,0.03618983540760979,-3.4591780227350877,1.57693258045696,AJG on ICE,24.36398398167838,-0.15428373452264335,-0.011361422360307148,0.07363979356255276,-0.0452202643943971,-0.12190209164804289,32,0.625,13.5625,0.018576461471105282,0.0637967258655024,-0.04522026439439715
AEE,AWK,utilities,0.018388893193242786,-3.6988311993182985,0.22379293196814037,AEE on AWK,14.696857539907867,-0.17513700140259633,-0.013612320268219244,0.07772383996073973,-0.054179195353269455,-0.2122768992447137,35,0.5714285714285714,14.057142857142857,0.015851076706427346,0.07003027205969685,-0.054179195353269434
BKR,MPC,energy,0.03362488362082649,-3.4863487208223725,0.3051812273937493,BKR on MPC,22.803820137883783,-0.17881462090452913,-0.022388041517157686,0.12520252205277377,-0.08910795889567126,-0.24318186022350718,33,0.5454545454545454,16.636363636363637,-0.02243975168752326,0.06666820720814803,-0.08910795889567127
NTRS,FITB,financials,0.015237324959071588,-3.7616422221154395,1.8111804518450692,NTRS on FITB,17.741373050887983,-0.18755377396808715,-0.017727561099940614,0.09451988475026375,-0.07055850707635093,-0.21577181965207048,30,0.6,14.066666666666666,-0.010412857699905059,0.060145649376445884,-0.07055850707635093
EOG,FANG,energy,0.007774554080168932,-3.9757276459735476,0.6666344092007749,EOG on FANG,17.320258495214357,-0.20756996495440658,-0.014701997550009593,0.07082911804334956,-0.05851628389944294,-0.09329077056438251,29,0.4827586206896552,15.310344827586206,-0.00011211738169958352,0.0584041665177434,-0.05851628389944296
AON,NDAQ,financials,0.007759568122924766,-3.9763199127383455,3.097945217677232,AON on NDAQ,21.37138670564516,-0.20767185633410604,-0.019039344271395264,0.0916799445407973,-0.07577961231829147,-0.16893935069897847,33,0.5757575757575758,15.484848484848484,-0.009754063842855501,0.06602554847543599,-0.07577961231829144
CB,FITB,financials,0.019228508413037766,-3.6836977550573593,2.8935673932441284,CB on FITB,25.04841679961152,-0.214918942502297,-0.020741921671888052,0.09651043984485624,-0.08255614062263379,-0.21079971628636318,32,0.53125,15.65625,-0.018240278831813325,0.06431586179082042,-0.08255614062263371
KMI,XOM,energy,0.03834919533479337,-3.437535282611888,0.15066327222958242,KMI on XOM,26.867547803053178,-0.21548335542048067,-0.01894484641366228,0.08791791076714253,-0.07540349584485423,-0.3302488501666674,29,0.6551724137931034,17.517241379310345,-0.017193458768554656,0.05821003707629962,-0.07540349584485426
VLO,OKE,energy,0.009895764932134583,-3.900750687257178,0.9483531940655548,VLO on OKE,22.419131228616376,-0.21645132140006623,-0.036062666487116916,0.16660866865516805,-0.14353513685150107,-0.32749002450811215,31,0.5161290322580645,18.387096774193548,-0.08111479067222678,0.06242034617927428,-0.14353513685150107
CB,KEY,financials,0.0342652028210008,-3.4794058745688545,6.6971300941076874,CB on KEY,21.700184500594194,-0.22195691296184844,-0.02177525671706984,0.0981057829039672,-0.08666897812389306,-0.19040583862449934,27,0.5925925925925926,16.11111111111111,-0.03236803789809242,0.05430094022580063,-0.08666897812389306
